name,Zip code,Number of reviewers,Overall score,Cleanliness,Comfort,Facilities,Staff,Value for money,Free WiFi,Location,good Fitness Center,Daily Housekeeping,Heating,Free Parking,Airport Shuttle (free),Private Parking,Spa,On-site Parking,Fitness Center,Room Service,Family Rooms,Parking,Airport Shuttle,Air Conditioning,Free WiFi.1,Laundry,Water Park,Pet Friendly,Outdoor Pool,Indoor Pool,Elevator,Garden,Facilities for Disabled Guests,Bar,Beach nearby,wonderful Fitness Center,Beachfront,Non-smoking Rooms,Terrace,Swimming Pool,very good Fitness Center,Restaurant,Private Beach Area,exceptional Fitness Center,24-Hour Front Desk,WiFi,BBQ Facilities,Dist,Cluster
DTLA Convention Center Suite,90015,31,8.9,9.0,9.4,9.0,9.0,8.2,10.0,8.6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(1.7 miles from center),5
Lexen Hotel - Hollywood,90068,392,8.6,9.2,8.6,8.3,8.8,7.9,8.4,8.7,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,(6.2 miles from center),3
The Charlie West Hollywood,90069,252,9.1,9.2,9.3,9.0,9.0,8.6,9.1,9.6,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(7.5 miles from center),5
CALIFORNIA Deluxe Suite | 2BD/2BT | FREE PARKING | POOL !,90036,6,9.6,9.6,10.0,10.0,9.6,9.2,10.0,9.2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(5.6 miles from center),4
Loews Hollywood Hotel,90028,"1,239",8.6,8.9,8.8,8.6,8.8,7.6,8.2,9.1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(6.2 miles from center),3
Downtown Oasis in DTLA,90017,15,8.7,8.7,8.8,8.7,8.5,8.7,8.7,11.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(1.2 miles from center),5
Luxury Apartments in Downtown LA,90012,241,8.4,8.7,8.8,8.7,7.9,8.1,8.7,8.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(800 feet from center),5
Ace Hotel Downtown Los Angeles,90015,917,8.2,8.7,8.2,8.3,8.7,7.2,8.7,8.3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(1.1 miles from center),3
The Georgian Hotel,90401,894,8.3,8.7,8.4,7.7,8.4,7.1,8.1,9.5,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,(14.3 miles from center),3
Hotel Beverly Terrace,90210,"1,527",8.5,8.9,8.2,8.3,9.0,7.7,8.8,8.9,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,(8.1 miles from center),3
