name,Zip code,Number of reviewers,Overall score,Cleanliness,Comfort,Facilities,Staff,Value for money,Free WiFi,Location,good Fitness Center,Daily Housekeeping,Heating,Free Parking,Airport Shuttle (free),Private Parking,Spa,On-site Parking,Fitness Center,Room Service,Family Rooms,Parking,Airport Shuttle,Air Conditioning,Free WiFi.1,Laundry,Water Park,Pet Friendly,Outdoor Pool,Indoor Pool,Elevator,Garden,Facilities for Disabled Guests,Bar,Beach nearby,wonderful Fitness Center,Beachfront,Non-smoking Rooms,Terrace,Swimming Pool,very good Fitness Center,Restaurant,Private Beach Area,exceptional Fitness Center,24-Hour Front Desk,WiFi,BBQ Facilities,Dist,Cluster
Downtown Highrise Luxury Living,90015,11,8.9,8.9,9.3,8.9,8.4,8.9,9.1,8.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(1.1 miles from center),5
Sunset Marquis Hotel,90069,254,8.9,9.2,9.2,8.8,9.1,8.0,5.5,9.3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,(8.1 miles from center),3
The Orlando Hotel,90048,600,8.5,8.7,8.6,8.1,8.8,7.6,7.7,9.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(7.5 miles from center),3
"Marina Del Rey/Venice 2 Bed, 2 Bath. Pool, Gym",90292,6,9.7,9.6,9.6,10.0,9.6,9.6,9.6,5.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(12.4 miles from center),4
Urban DTLA Top Level Penthouse,90015,9,9.4,9.2,8.9,9.7,10.0,9.2,9.5,8.0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(1.3 miles from center),4
Popular Hollywood Fabulous Suite,90028,30,8.5,8.7,8.8,8.6,7.9,7.9,9.0,9.2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(6.2 miles from center),0
Urban Hollywood Memories Penthouse,90028,8,9.1,8.9,8.9,8.9,9.7,8.6,9.4,5.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(6.2 miles from center),5
Embassy Suites Los Angeles - International Airport/North,90045,"1,080",8.5,8.6,8.7,8.6,8.7,8.0,8.4,8.6,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(10.6 miles from center),3
PREMIUM TWO BEDROOM CONDO w Free parking,90012,7,9.0,9.3,9.3,9.3,8.2,8.9,10.0,8.9,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"(1,150 feet from center)",5
Downtown LA 5beds Entertainer Pool,90015,23,8.5,9.0,8.9,8.9,7.8,8.0,9.4,8.8,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(1.1 miles from center),5
Le Meridien Delfina Santa Monica,90405,893,8.0,8.5,8.4,8.0,8.4,6.9,8.1,8.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,(13.7 miles from center),3
High-Rise City View Condo,90010,12,8.5,8.8,8.8,9.0,7.7,7.7,9.0,5.0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(2.8 miles from center),0
W. HOLLYWOOD CHARMING 2BR/2BT SUITE / Free Parking / Rooftop Pool,90036,6,9.8,10.0,9.6,10.0,10.0,9.6,9.6,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(5.6 miles from center),4
Popular Audrey Hepburns Hollywood Suites,90015,64,8.6,8.6,8.8,8.6,8.4,8.2,10.0,9.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,(6.2 miles from center),5
InterContinental - Los Angeles Downtown,90017,710,9.0,9.3,9.2,9.0,8.8,8.4,9.1,9.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(1 miles from center),5
East West Comfort: Hollywood Walk of Fame Apartments,90028,12,8.2,8.3,8.1,7.5,8.1,7.9,6.3,9.4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(6.2 miles from center),2
Urban Hollywood Modern Penthouse,90015,37,8.5,7.9,8.8,8.5,8.5,7.9,6.3,9.1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(6.8 miles from center),2
Fairmont Miramar Hotel & Bungalows,90401,296,8.4,8.8,8.6,8.4,8.7,7.0,6.0,9.2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,(14.9 miles from center),2
Petit Ermitage,90069,588,8.7,9.0,8.9,8.8,8.7,7.6,8.6,9.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(8.1 miles from center),5
Popular Hollywood Presidential Penthouse,90028,24,8.6,9.2,9.0,8.2,7.7,7.8,10.0,9.4,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,(6.2 miles from center),0
Hotel Angeleno,90049,"1,841",8.1,8.6,8.1,8.0,8.5,7.4,8.4,7.7,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(12.4 miles from center),3
LA Paradise Retreat Amazing Location,90036,6,9.5,9.2,9.6,10.0,10.0,8.8,9.6,4.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(6.2 miles from center),4
Hilton Garden Inn Los Angeles Marina Del Rey,90292,401,8.5,8.9,8.7,8.3,8.8,7.6,8.1,8.5,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(13 miles from center),3
Popular Hollywood Blvd Deluxe Suite,90028,12,8.3,8.2,8.6,8.6,7.3,7.3,9.6,4.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(6.2 miles from center),0
Urban Hollywood Chateau Suite,90028,51,8.8,8.6,9.0,9.1,8.7,8.5,9.2,8.9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(5.6 miles from center),5
Popular Downtown LA Extravagant Suite,90015,13,8.7,8.9,8.7,8.9,8.7,8.3,8.8,9.1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(1.2 miles from center),5
East West Comfort: Downtown LA Artistic Apartments,90012,9,8.2,8.9,8.1,7.8,8.9,7.2,7.5,8.1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(0.7 miles from center),3
Popular Hollywood Views Massive Penthouse,90015,5,8.4,8.1,9.4,8.8,7.0,8.1,9.4,1.0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,(6.2 miles from center),0
Melrose Place,90036,30,8.6,8.3,8.6,8.3,8.6,8.4,8.8,9.3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,(5.6 miles from center),3
Popular Hollywood VIP Celebrity Penthouse,90028,31,8.4,8.2,8.8,8.2,7.7,8.1,9.4,9.2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(6.2 miles from center),0
Downtown LA Convention Center Apartment,90015,35,8.6,8.7,8.6,8.9,8.3,8.6,8.8,8.8,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(1.7 miles from center),5
Sunset Boulevard Luxury Private Home Escape,90028,5,9.7,9.5,10.0,10.0,9.5,9.5,9.5,4.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(6.2 miles from center),4
Abbot Kinney Apartment,90291,341,8.3,8.5,8.3,8.2,7.9,7.7,8.5,9.2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,(13 miles from center),0
Downtown Los Angeles Deluxe Penthouse,90028,16,8.5,8.6,8.9,8.9,7.8,8.5,10.0,8.5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(1.2 miles from center),5
Popular Hollywood Spectacular Double King Suite,90028,23,8.8,9.0,9.3,8.8,8.2,8.4,8.8,9.1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,(6.2 miles from center),5
Walk of Fame Hostel,90028,"3,741",8.3,8.4,7.7,8.0,8.5,8.1,8.4,9.3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,(6.2 miles from center),3
The Westin Los Angeles Airport,90045,"1,573",8.1,8.4,8.5,8.1,8.3,7.5,6.4,8.2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,(10.6 miles from center),2
Comfort Inn Near Old Town Pasadena in Eagle Rock CA,90041,583,8.3,8.6,8.3,8.1,8.8,8.1,7.9,7.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,(6.2 miles from center),3
Best Western Plus Hollywood Hills Hotel,90028,"1,204",8.2,8.5,8.2,8.0,8.5,7.5,8.6,8.5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(5.6 miles from center),3
Modern Living,90012,62,8.9,8.9,9.2,9.0,8.7,8.8,9.3,8.7,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"(1,150 feet from center)",5
Cozy Silver Lake Getaway,90026,18,8.7,8.8,8.8,8.5,8.8,8.1,10.0,9.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(3 miles from center),5
Kimpton Hotel Palomar Los Angeles Beverly Hills,90024,627,8.0,8.5,8.3,7.7,8.3,7.1,6.2,8.3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,(10.6 miles from center),2
Marina Vacation Rentals,90094,196,8.7,8.7,8.7,8.6,9.2,8.4,9.0,8.6,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,(11.8 miles from center),5
Popular Downtown LA Skyline View Suites,90017,31,8.3,8.1,8.2,8.2,8.8,8.2,7.0,8.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,(1.2 miles from center),3
Marina del Rey Marriott,90292,341,8.1,8.4,8.4,8.0,8.4,6.9,3.8,8.6,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,(13 miles from center),2
Popular Hollywood VIP Executive Suite,90028,18,8.0,7.7,8.3,7.9,7.5,8.1,8.8,8.8,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(6.2 miles from center),0
Popular Hollywood Blvd Gorgeous Penthouse,90028,51,8.0,7.7,8.3,7.8,7.7,7.6,10.0,9.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(6.2 miles from center),0
Urban Downtown 3br 3ba Sky Pool Table Penthouse,90015,22,8.6,8.8,8.9,8.6,8.5,8.0,8.9,12.0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(1.3 miles from center),5
"Deluxe, Universal Studios / 2 rooms",90068,39,8.3,8.7,8.3,8.2,8.0,7.8,8.8,8.8,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(7.5 miles from center),0
Hotel Indigo - Los Angeles Downtown,90017,791,8.6,9.0,9.0,8.8,8.5,8.0,8.7,8.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(1.3 miles from center),5
Popular Hollywood Blvd Majestic Suite,90028,6,9.0,8.3,9.2,9.6,8.3,8.8,9.6,4.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(6.2 miles from center),5
Popular Hollywood Blvd Shining Suite,90028,13,8.3,8.3,8.7,8.1,8.3,7.7,9.1,5.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(6.2 miles from center),0
Hollywood 2Bed 2Bath,90038,99,8.1,7.7,8.3,8.2,8.7,8.2,8.5,7.8,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(5 miles from center),3
Sunset Home,90069,13,8.2,8.3,7.7,7.9,8.3,8.3,8.7,5.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(7.5 miles from center),0
Hollywood Walk of Fame Apartment,90028,7,8.6,8.6,8.9,7.9,8.2,8.6,9.7,4.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(6.2 miles from center),5
Luxury Condo with Parking,90036,8,8.2,8.8,8.5,7.8,7.5,7.8,8.8,5.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(5.6 miles from center),0
The Los Angeles Athletic Club,90014,671,8.6,8.8,8.8,8.8,8.7,8.0,8.4,8.4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,(0.8 miles from center),5
Hollywood Spring Deluxe,90028,170,9.0,9.1,9.1,9.2,9.2,8.7,9.3,8.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,(5 miles from center),4
DTLA Convention Center Stylish Apartment,90015,10,8.6,8.8,8.5,9.0,8.5,8.0,9.0,6.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(1.7 miles from center),5
Popular Hollywood Celebrity Suite,90028,46,8.2,8.4,8.3,7.9,7.7,7.8,8.2,9.0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(6.2 miles from center),0
BLVD Hotel & Suites,90068,"1,311",8.0,8.2,8.0,7.6,8.2,7.4,8.4,8.7,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(6.2 miles from center),2
Kimpton La Peer Hotel,90069,48,8.8,9.5,8.7,8.8,9.2,7.8,10.0,9.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(8.1 miles from center),5
Beverly Hills Plaza Hotel,90024,789,8.4,8.7,8.6,8.3,8.5,7.7,8.4,8.6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(9.9 miles from center),3
Popular Downtown LA Presidential Pool Table High Rise,90015,26,8.2,7.6,8.4,8.3,7.8,8.0,8.3,9.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,(1.1 miles from center),0
Hampton Inn Los Angeles Int'l Airport/Hawthorne,90250,"2,092",8.5,9.0,8.8,8.6,8.8,8.2,8.1,7.8,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(9.9 miles from center),5
Luxe Rodeo Drive Hotel,90210,753,8.2,8.4,8.1,7.8,8.5,7.2,7.8,9.4,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,(8.7 miles from center),2
Popular Downtown LA Governor Suite,90017,26,9.2,9.1,9.3,9.3,9.0,9.1,10.0,9.3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(1.1 miles from center),4
Residence Inn by Marriott Los Angeles L.A. LIVE,90015,311,8.7,8.9,8.9,8.8,8.9,7.8,9.0,8.8,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,(1.4 miles from center),5
Luxury Home In The Heart of LA,90017,29,9.4,9.6,9.5,9.3,9.4,9.3,10.0,9.5,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(1.2 miles from center),4
DTLA Staples Center Suite,90015,20,8.2,8.4,8.4,8.1,7.6,7.5,9.2,9.1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(1.3 miles from center),0
Courtyard Los Angeles Westside,90230,539,8.2,8.7,8.5,8.2,8.3,7.4,8.2,8.1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,(9.3 miles from center),3
Popular Hollywood Blvd Luxury Penthouse,90028,35,8.5,8.6,8.8,8.4,8.4,8.0,8.3,8.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(6.2 miles from center),3
Oakwood Toluca Hills,90068,"1,534",8.1,7.8,8.4,8.1,8.1,7.9,8.7,8.4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,(8.1 miles from center),0
Popular Hollywood Skyline View Penthouse,90028,10,8.5,8.8,9.3,8.0,7.5,8.0,9.3,4.0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,(6.2 miles from center),0
Heaven on Hollywood Furnished Apartments,90028,213,7.9,7.7,8.0,7.8,7.6,7.4,8.9,8.9,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(6.2 miles from center),0
Downtown LA 3-Bedroom Pool Suite #1,90017,11,8.4,8.6,9.1,8.9,8.2,7.3,10.0,8.2,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(1.3 miles from center),5
Popular Hollywood Blvd Modern Suite,90015,58,8.4,8.5,8.6,8.5,8.2,8.1,10.0,8.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(6.2 miles from center),0
Popular Hollywood Prestige Suite,90028,12,8.2,8.3,8.1,8.3,7.3,7.5,8.8,9.4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(6.2 miles from center),0
The Peninsula Beverly Hills,90212,199,9.4,9.7,9.6,9.4,9.4,8.4,9.7,9.6,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(9.3 miles from center),4
East West Comfort: Downtown LA Cozy Apartments,90015,11,9.1,9.6,9.1,9.6,9.3,8.6,8.2,8.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(1.7 miles from center),4
Hollywood Private Bungalow,90038,19,9.0,8.8,8.8,9.0,9.1,8.7,10.0,9.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(5.6 miles from center),5
Urban DTLA Chic Stylish Suite,90015,34,8.8,8.7,8.5,8.9,9.1,8.6,9.2,9.2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(0.9 miles from center),5
Hollywood Megastar 5 beds 2-BR pool,90028,8,9.3,8.1,10.0,9.7,9.1,9.1,10.0,6.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(6.2 miles from center),4
Popular Downtown LA Cirrus Resort Style Suite,90012,23,8.1,8.1,8.6,7.9,8.5,7.8,10.0,7.9,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(0.8 miles from center),0
LA Clean and Comfy Suite,90036,11,8.9,8.4,8.9,8.6,8.8,9.1,9.5,5.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(5.6 miles from center),5
Urban DTLA VIP Penthouse with Pool Table,90015,8,9.4,9.4,9.7,9.7,9.1,9.1,10.0,9.4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(1.3 miles from center),4
Urban 20 FT Two Level Loft,90015,5,9.3,10.0,10.0,9.0,9.5,8.5,8.5,4.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(1.3 miles from center),4
AIR Venice on the Beach,90291,"1,807",7.8,7.9,7.5,7.4,8.3,7.1,8.0,8.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,(13.7 miles from center),2
Global Luxury Suites at Figueroa Street,90015,11,8.3,8.2,8.6,8.2,8.6,8.0,10.0,8.4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(1.2 miles from center),0
Tuck Hotel,90014,204,9.0,9.4,9.2,8.7,9.4,8.4,8.9,8.7,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,(0.9 miles from center),5
Urban DTLA Resort Style Flamingo Suite,90017,13,9.0,8.7,9.4,9.4,8.5,8.7,10.0,9.2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(1 miles from center),5
Homewood Suites By Hilton Los Angeles International Airport,90045,729,9.0,9.3,9.3,9.0,8.8,8.4,8.6,9.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(11.2 miles from center),5
Modern 2BR/2BA in the Heart of Hollywood,90028,19,8.5,8.3,8.5,8.2,8.3,8.4,2.5,9.2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(6.2 miles from center),2
Studio Plus - Hollywood Luxury 2BR APT,90028,156,8.2,7.9,8.5,8.1,7.8,8.0,9.1,9.2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(6.2 miles from center),0
Loft on Hollywood Walk of Fame,90028,29,8.6,8.1,8.5,8.7,8.9,8.3,9.2,9.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(6.2 miles from center),5
The Hollywood Roosevelt,90028,"1,947",8.3,8.6,8.2,8.2,8.5,7.0,6.0,9.1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,(6.2 miles from center),2
